fecha,canal,campana,impresiones,clics,clicks,conversiones,costo
2024-11-01,Facebook,Lanzamiento Nov,15200,410,410,32,850000
02/11/2024,Facebook,Lanzamiento Nov,14800,395,395,29,820000
2024-11-03,Instagram,Lanzamiento Nov,22100,780,780,55,1100000
04-11-2024,Instagram,Lanzamiento Nov,21500,,760,51,1080000
2024-11-05,Google Ads,Busqueda Marca,9800,610,610,88,1450000
06/11/2024,Google Ads,Busqueda Marca,10200,655,655,,1500000
2024-11-07,TikTok,Alcance Joven,31000,1250,1250,40,900000
2024-11-08,TikTok,Alcance Joven,29800,1190,1190,38,870000
09-11-2024,Facebook,Retargeting,8700,520,520,95,650000
2024-11-10,Facebook,Retargeting,8900,540,540,99,670000
2024-11-11,Instagram,Retargeting,12300,690,690,110,720000
12/11/2024,Instagram,Retargeting,,710,710,115,740000
2024-11-13,Google Ads,Busqueda Generica,17600,980,980,60,1600000
2024-11-14,Google Ads,Busqueda Generica,18100,1005,1005,64,1650000
15-11-2024,TikTok,Alcance Joven,33200,1310,1310,45,950000
2024-11-16,TikTok,Alcance Joven,30500,15000,15000,42,910000
2024-11-17,Facebook,Lanzamiento Nov,16000,430,430,34,860000
18/11/2024,Facebook,Lanzamiento Nov,15700,420,420,,850000
2024-11-19,Instagram,Lanzamiento Nov,23000,810,810,58,1150000
2024-11-20,Instagram,Lanzamiento Nov,22800,800,,57,1140000
21-11-2024,Google Ads,Busqueda Marca,10500,670,670,90,1520000
2024-11-22,Google Ads,Busqueda Marca,10100,640,640,86,1490000
2024-11-23,TikTok,Alcance Joven,32100,1280,1280,43,930000
24/11/2024,TikTok,Alcance Joven,,1220,1220,39,890000
2024-11-25,Facebook,Retargeting,9100,560,560,101,690000
2024-11-26,Facebook,Retargeting,8950,545,545,97,675000
27-11-2024,Instagram,Retargeting,12800,720,720,118,750000
2024-11-28,Instagram,Retargeting,12500,700,700,112,730000
2024-11-29,Google Ads,Busqueda Generica,18400,1020,1020,66,1670000
2024-11-30,Google Ads,Busqueda Generica,18700,1040,1040,68,1690000
